"2018-07-03T16:32:31.195224","emg","1","2","12","3","-33","-9","-8","-1","2018-07-03T16:32:31.194419"
"2018-07-03T16:32:31.195578","emg","0","0","-11","-18","20","23","45","4","2018-07-03T16:32:31.194798"
"2018-07-03T16:32:31.208563","emg","-6","-10","-21","-26","-18","-77","-13","-9","2018-07-03T16:32:31.207386"
"2018-07-03T16:32:31.208997","emg","3","3","9","18","-12","48","-3","3","2018-07-03T16:32:31.207919"
"2018-07-03T16:32:31.216934","acc","1387","-2073","464","gyro","306","172","1087","quat","10232","-3575","-8645","8731","2018-07-03T16:32:31.215863"
"2018-07-03T16:32:31.218042","emg","-4","-7","-22","-2","8","-23","0","-4","2018-07-03T16:32:31.217316"
"2018-07-03T16:32:31.218389","emg","4","6","36","23","5","22","8","10","2018-07-03T16:32:31.217644"
"2018-07-03T16:32:31.222695","emg","-1","0","-7","18","48","54","0","-2","2018-07-03T16:32:31.221906"
"2018-07-03T16:32:31.223066","emg","-5","-5","4","-5","-25","-30","4","-4","2018-07-03T16:32:31.222260"
"2018-07-03T16:32:31.230687","acc","1528","-2095","681","gyro","80","408","1651","quat","10116","-3752","-8534","8898","2018-07-03T16:32:31.229744"
"2018-07-03T16:32:31.238495","emg","1","-1","-20","-23","20","-50","-25","-5","2018-07-03T16:32:31.237439"
"2018-07-03T16:32:31.238827","emg","1","5","5","-3","-21","59","14","0","2018-07-03T16:32:31.237925"
"2018-07-03T16:32:31.245594","emg","0","-4","21","12","-8","-49","8","4","2018-07-03T16:32:31.244509"
"2018-07-03T16:32:31.245926","emg","-2","-3","3","37","18","2","4","-1","2018-07-03T16:32:31.245041"
"2018-07-03T16:32:31.254377","acc","1272","-2363","822","gyro","-542","640","2118","quat","9946","-4066","-8432","9048","2018-07-03T16:32:31.253288"
"2018-07-03T16:32:31.255493","emg","0","4","24","-12","-14","15","-2","0","2018-07-03T16:32:31.254755"
"2018-07-03T16:32:31.255842","emg","-1","-3","-22","6","43","26","-8","-3","2018-07-03T16:32:31.255085"
"2018-07-03T16:32:31.268674","emg","-2","-1","-4","-12","-25","10","5","-2","2018-07-03T16:32:31.267584"
"2018-07-03T16:32:31.269080","emg","-1","-3","-4","28","36","-20","7","-1","2018-07-03T16:32:31.268099"
