"2018-03-27T16:02:17.712901","emg","-2","-3","-1","-2","-2","-1","-1","0","2018-03-27T16:02:17.712164"
"2018-03-27T16:02:17.717389","emg","-1","0","-1","-1","0","1","5","0","2018-03-27T16:02:17.716360"
"2018-03-27T16:02:17.717822","emg","0","-1","-2","1","0","1","-2","-3","2018-03-27T16:02:17.716910"
"2018-03-27T16:02:17.725764","acc","-348","-1251","-1765","gyro","-5","0","5","quat","-4177","14544","5523","-2992","2018-03-27T16:02:17.724749"
"2018-03-27T16:02:17.727080","emg","0","-1","-2","-3","-1","0","-5","0","2018-03-27T16:02:17.726339"
"2018-03-27T16:02:17.727482","emg","-1","0","-1","-2","-1","-2","-3","-1","2018-03-27T16:02:17.726707"
"2018-03-27T16:02:17.739779","emg","-1","-1","0","-1","-1","4","2","0","2018-03-27T16:02:17.738794"
"2018-03-27T16:02:17.740148","emg","-1","0","-2","-1","-3","-4","-3","-1","2018-03-27T16:02:17.739309"
"2018-03-27T16:02:17.748482","acc","-350","-1262","-1772","gyro","-8","2","5","quat","-4177","14544","5523","-2992","2018-03-27T16:02:17.747449"
"2018-03-27T16:02:17.749741","emg","0","1","0","0","-2","-3","1","-2","2018-03-27T16:02:17.749004"
"2018-03-27T16:02:17.750133","emg","-1","-2","-2","-2","-3","2","2","0","2018-03-27T16:02:17.749370"
"2018-03-27T16:02:17.755212","emg","-1","-2","-1","0","0","-5","-4","-2","2018-03-27T16:02:17.754197"
"2018-03-27T16:02:17.755582","emg","-1","-1","-1","1","-1","0","0","0","2018-03-27T16:02:17.754738"
"2018-03-27T16:02:17.771163","acc","-357","-1269","-1765","gyro","-6","5","3","quat","-4176","14544","5523","-2993","2018-03-27T16:02:17.770089"
"2018-03-27T16:02:17.772444","emg","-2","-4","0","-1","-1","-1","1","-2","2018-03-27T16:02:17.771694"
"2018-03-27T16:02:17.772805","emg","-1","-2","-3","0","0","1","-4","-1","2018-03-27T16:02:17.772067"
"2018-03-27T16:02:17.777704","emg","-2","1","-1","0","-1","-3","-2","-1","2018-03-27T16:02:17.776691"
"2018-03-27T16:02:17.778120","emg","-4","-2","0","-2","-2","0","0","0","2018-03-27T16:02:17.777228"
"2018-03-27T16:02:17.786083","acc","-358","-1267","-1773","gyro","6","6","3","quat","-4176","14544","5523","-2993","2018-03-27T16:02:17.784989"
"2018-03-27T16:02:17.787387","emg","0","1","-1","-1","-3","1","-1","1","2018-03-27T16:02:17.786612"
"2018-03-27T16:02:17.787762","emg","-1","1","0","0","-1","-2","-2","-2","2018-03-27T16:02:17.786998"
"2018-03-27T16:02:17.799869","emg","-1","0","-1","-2","-1","3","4","0","2018-03-27T16:02:17.798814"
"2018-03-27T16:02:17.800244","emg","1","-1","-3","-1","-1","-4","0","-2","2018-03-27T16:02:17.799394"
"2018-03-27T16:02:17.807895","acc","-336","-1268","-1767","gyro","15","8","4","quat","-4176","14544","5523","-2993","2018-03-27T16:02:17.806999"
"2018-03-27T16:02:17.809248","emg","-1","0","0","-2","1","-1","1","-3","2018-03-27T16:02:17.808458"
"2018-03-27T16:02:17.809618","emg","0","-2","0","-2","-2","-4","-2","-2","2018-03-27T16:02:17.808851"
"2018-03-27T16:02:17.814464","emg","-2","0","0","0","-1","2","1","-1","2018-03-27T16:02:17.813695"
"2018-03-27T16:02:17.814789","emg","-3","1","0","0","0","-2","0","2","2018-03-27T16:02:17.814105"
"2018-03-27T16:02:17.830226","acc","-333","-1266","-1768","gyro","34","10","0","quat","-4182","14543","5521","-2994","2018-03-27T16:02:17.829439"
"2018-03-27T16:02:17.831365","emg","-1","-2","0","-1","-1","-1","-1","0","2018-03-27T16:02:17.830713"
"2018-03-27T16:02:17.831704","emg","-2","-1","-4","-3","-3","-2","-3","-1","2018-03-27T16:02:17.831044"
"2018-03-27T16:02:17.837410","emg","-2","1","4","0","-1","-1","-3","0","2018-03-27T16:02:17.836435"
"2018-03-27T16:02:17.837784","emg","6","-2","-3","-4","-3","-2","-2","-3","2018-03-27T16:02:17.836964"
"2018-03-27T16:02:17.845700","acc","-332","-1260","-1778","gyro","34","5","-6","quat","-4187","14541","5521","-2994","2018-03-27T16:02:17.844783"
"2018-03-27T16:02:17.846850","emg","-8","-2","0","-1","2","-3","-1","-6","2018-03-27T16:02:17.846204"
"2018-03-27T16:02:17.847161","emg","1","-4","-1","-1","0","3","3","3","2018-03-27T16:02:17.846521"
"2018-03-27T16:02:17.859674","emg","-2","-1","6","0","-1","-1","-2","-7","2018-03-27T16:02:17.858746"
"2018-03-27T16:02:17.860013","emg","-9","2","-1","-3","0","2","1","-8","2018-03-27T16:02:17.859254"
"2018-03-27T16:02:17.868527","acc","-427","-1369","-1792","gyro","-125","-37","-2","quat","-4168","14544","5524","-3001","2018-03-27T16:02:17.867456"
"2018-03-27T16:02:17.869780","emg","-24","-22","-21","-12","-7","-4","-12","-16","2018-03-27T16:02:17.869042"
"2018-03-27T16:02:17.870176","emg","55","27","5","7","6","5","16","25","2018-03-27T16:02:17.869408"
"2018-03-27T16:02:17.875069","emg","-36","-19","-26","-1","-1","-3","-9","-18","2018-03-27T16:02:17.874010"
"2018-03-27T16:02:17.875430","emg","34","7","27","5","0","-3","2","11","2018-03-27T16:02:17.874559"
"2018-03-27T16:02:17.891122","acc","-640","-1882","-2012","gyro","-339","-228","38","quat","-4123","14544","5532","-3049","2018-03-27T16:02:17.890051"
"2018-03-27T16:02:17.892396","emg","4","18","-9","14","17","12","15","11","2018-03-27T16:02:17.891644"
"2018-03-27T16:02:17.892782","emg","-24","-9","-4","-9","-16","-21","-15","-16","2018-03-27T16:02:17.892007"
"2018-03-27T16:02:17.897667","emg","32","13","1","-3","1","4","0","16","2018-03-27T16:02:17.896635"
"2018-03-27T16:02:17.898071","emg","-15","1","-6","-1","0","-2","-7","-19","2018-03-27T16:02:17.897176"
"2018-03-27T16:02:17.913660","acc","-710","-2239","-1851","gyro","-1048","-355","362","quat","-3983","14577","5516","-3107","2018-03-27T16:02:17.912519"
"2018-03-27T16:02:17.914964","emg","2","-53","-6","-2","-6","1","-2","7","2018-03-27T16:02:17.914219"
"2018-03-27T16:02:17.915329","emg","-14","-3","-4","-10","-5","0","6","-4","2018-03-27T16:02:17.914590"
"2018-03-27T16:02:17.919505","emg","12","29","5","7","6","11","12","6","2018-03-27T16:02:17.918700"
"2018-03-27T16:02:17.919884","emg","-41","-2","19","-1","-4","-6","-10","-12","2018-03-27T16:02:17.919108"
"2018-03-27T16:02:17.928536","acc","-968","-1520","-1539","gyro","-1969","-397","1186","quat","-3610","14712","5405","-3118","2018-03-27T16:02:17.927451"
"2018-03-27T16:02:17.929850","emg","33","11","4","4","1","-1","-3","0","2018-03-27T16:02:17.929046"
"2018-03-27T16:02:17.930244","emg","-3","-20","29","9","0","6","2","16","2018-03-27T16:02:17.929417"
"2018-03-27T16:02:17.934613","emg","18","44","-31","-14","1","-2","5","-4","2018-03-27T16:02:17.933696"
"2018-03-27T16:02:17.934991","emg","-1","11","-2","3","-3","4","-1","-9","2018-03-27T16:02:17.934203"
"2018-03-27T16:02:17.950816","acc","-1093","-929","-1684","gyro","-2701","-341","1540","quat","-3097","14889","5256","-3086","2018-03-27T16:02:17.949713"
"2018-03-27T16:02:17.952076","emg","82","31","21","-1","9","0","9","60","2018-03-27T16:02:17.951342"
"2018-03-27T16:02:17.952440","emg","-27","13","83","30","-3","-9","3","-8","2018-03-27T16:02:17.951703"
"2018-03-27T16:02:17.957628","emg","-34","-72","-69","-29","-17","-4","-11","-15","2018-03-27T16:02:17.956579"
"2018-03-27T16:02:17.958050","emg","-48","-25","30","-1","7","13","-4","-15","2018-03-27T16:02:17.957122"
"2018-03-27T16:02:17.972965","acc","-1188","-1156","-2179","gyro","-2940","-250","1084","quat","-2566","15032","5181","-3006","2018-03-27T16:02:17.972052"
"2018-03-27T16:02:17.974334","emg","52","86","36","21","7","5","7","1","2018-03-27T16:02:17.973478"
"2018-03-27T16:02:17.974698","emg","-18","14","-15","-15","1","-7","0","7","2018-03-27T16:02:17.973865"
"2018-03-27T16:02:17.980330","emg","-17","17","49","20","6","-20","-1","-12","2018-03-27T16:02:17.979285"
"2018-03-27T16:02:17.980699","emg","23","-28","-13","7","-10","1","5","27","2018-03-27T16:02:17.979826"
"2018-03-27T16:02:17.988310","acc","-1452","-1143","-1970","gyro","-1918","-438","979","quat","-2194","15119","5090","-3017","2018-03-27T16:02:17.987254"
"2018-03-27T16:02:17.989572","emg","-60","-89","-58","-48","-22","-14","-20","-53","2018-03-27T16:02:17.988834"
